employer,jan,feb,mar,apr,may,total,months_active,avg_per_month,size_category
Adobe Systems Software Ireland Limited,0,1,0,0,1,2,2,1.0,2-5 permits
ADONIS ADVENTURES LIMITED,1,0,0,0,0,1,1,1.0,1 permit
ADP HR AND PAYROLL SERVICES IRELAND LIMITED,0,1,0,0,0,1,1,1.0,1 permit
Adrian Corbett,0,1,0,0,0,1,1,1.0,1 permit
Adt Fire & Security Ltd,0,0,1,0,0,1,1,1.0,1 permit
Advanced Manufacturing Control Systems Limited,0,0,0,0,1,1,1,1.0,1 permit
Advanced Peadiatric Hearing Solutions,1,0,0,0,0,1,1,1.0,1 permit
AE Taverns Limited,0,0,0,0,1,1,1,1.0,1 permit
AEBE Limited,0,0,0,1,0,1,1,1.0,1 permit
AECOM Ireland Limited,2,1,1,1,1,6,5,1.2,6-20 permits
Aer Lingus  Limited,0,0,1,0,1,2,2,1.0,2-5 permits
Aero Inspection International Limited,0,1,0,0,0,1,1,1.0,1 permit
Aerogen Limited,1,2,0,1,0,4,3,1.3,2-5 permits
Aeronox Limited,1,1,0,0,0,2,2,1.0,2-5 permits
Aerospace Software Developments Limited,1,0,0,0,0,1,1,1.0,1 permit
Aesthetics Beauty&Care Dublin By Santos Limited,0,1,0,0,0,1,1,1.0,1 permit
AF Construction Limited,0,0,1,0,0,1,1,1.0,1 permit
Affidea Diagnostics Ireland Limited,1,0,2,3,0,6,3,2.0,6-20 permits
Afiniti AI Limited,0,0,1,0,0,1,1,1.0,1 permit
Agha Int Limited,0,0,0,1,0,1,1,1.0,1 permit
Agilent Technologies Ireland Limited,1,0,0,0,0,1,1,1.0,1 permit
AGT Food Service Limited,1,0,0,0,1,2,2,1.0,2-5 permits
Aguiar Bloodstock Limited,1,0,0,0,0,1,1,1.0,1 permit
Aguiar Racing Ltd,0,0,0,1,0,1,1,1.0,1 permit
Agup Restaurants Limited,0,0,0,1,1,2,2,1.0,2-5 permits
Aherns Garage Ltd,0,0,2,3,0,5,2,2.5,2-5 permits
Ahmed Saqqa,0,2,0,0,0,2,1,2.0,2-5 permits
Ai Lian Ma,0,1,0,0,1,2,2,1.0,2-5 permits
Aidan Doherty Transport Ltd,2,0,0,1,0,3,2,1.5,2-5 permits
Aidan Finn DAC,0,0,1,0,0,1,1,1.0,1 permit
Aidan Howard,0,0,0,0,3,3,1,3.0,2-5 permits
Aidan M & A Limited,0,0,0,0,2,2,1,2.0,2-5 permits
Aidan Walsh Opticians Limited,1,0,0,0,0,1,1,1.0,1 permit
Aieti Company Limited,0,0,0,1,0,1,1,1.0,1 permit
AIG Europe SA,1,0,0,0,0,1,1,1.0,1 permit
AIGAME LIMITED,0,0,0,1,0,1,1,1.0,1 permit
"AIHUA INTERNATIONAL BUSINESS CONSULTING AND TRADING CO., LTD",0,0,0,0,1,1,1,1.0,1 permit
AII Limited,0,0,0,1,0,1,1,1.0,1 permit
Airconmech Limited,0,0,0,0,1,1,1,1.0,1 permit
Airline Business Limited,1,0,0,0,0,1,1,1.0,1 permit
Airmid Health Group Limited,0,0,1,0,0,1,1,1.0,1 permit
Airside Pizza Limited,1,0,0,0,0,1,1,1.0,1 permit
Airside Scaffolding Contractors Limited,0,1,0,0,0,1,1,1.0,1 permit
Airtraks Limited,1,0,0,0,0,1,1,1.0,1 permit
Aisling Dino Limited,0,0,0,0,3,3,1,3.0,2-5 permits
AISMS TELECOM LIMITED,0,0,1,0,0,1,1,1.0,1 permit
AJM Prime Catering Limited,0,0,0,0,1,1,1,1.0,1 permit
AK Accounting Limited Co,0,1,0,0,0,1,1,1.0,1 permit
Ak Window Systems Limited,0,1,0,0,0,1,1,1.0,1 permit
Akber West Street Retail Limited,0,1,0,0,0,1,1,1.0,1 permit
AKM Consultants Limited,0,1,0,0,0,1,1,1.0,1 permit
AL Beauty Clinic Limited,0,1,0,0,0,1,1,1.0,1 permit
Alan Campbell,0,0,1,0,0,1,1,1.0,1 permit
Alan Mulligan Contracts Limited,12,2,0,0,0,14,2,7.0,6-20 permits
Albany Beck Ireland Limited,1,1,1,0,1,4,4,1.0,2-5 permits
ALC Aircraft Limited,0,0,0,0,1,1,1,1.0,1 permit
Alchemy Telco Solutions Ltd,0,0,0,1,0,1,1,1.0,1 permit
