employer,jan,feb,mar,apr,may,total,months_active,avg_per_month,size_category
Cyclone Corporate Services Group Ltd,0,0,0,1,0,1,1,1.0,1 permit
Cygnus Data Science Limited,0,1,0,0,0,1,1,1.0,1 permit
CYY Food Limited,0,1,0,0,0,1,1,1.0,1 permit
D and S Nolan Engineering Ltd,0,0,0,0,1,1,1,1.0,1 permit
D Corcoran & W King Dairy Operation,0,1,0,0,0,1,1,1.0,1 permit
D&B Business Information Solutions UC,0,0,1,0,0,1,1,1.0,1 permit
D&E Fitzgerald Wicklow Ltd,0,0,0,0,15,15,1,15.0,6-20 permits
D&N Wyan Limited,0,0,0,1,0,1,1,1.0,1 permit
D. Leonard Civil Engineering Services Ltd,1,0,0,0,1,2,2,1.0,2-5 permits
D2K LTD T/A DISCO 2000,0,0,1,0,0,1,1,1.0,1 permit
Da Vincis Restaurant Ltd,1,0,0,0,0,1,1,1.0,1 permit
DAA Public Limited Company,0,0,0,1,1,2,2,1.0,2-5 permits
Daffodil Care Services Unlimited Company,0,0,0,0,4,4,1,4.0,2-5 permits
DAHFS Health Limited,1,0,0,0,0,1,1,1.0,1 permit
Dahlia Productions DAC,0,0,6,8,0,14,2,7.0,6-20 permits
Daily Direct News Limited,0,0,0,0,1,1,1,1.0,1 permit
Dairygold Co-operative Society Limited,0,0,0,0,1,1,1,1.0,1 permit
Dairymaster,8,1,0,4,0,13,3,4.3,6-20 permits
Daisy Chain Montessori and Childcare Limited,1,0,0,0,0,1,1,1.0,1 permit
Daisybelle Childcare Limited,0,4,1,0,0,5,2,2.5,2-5 permits
Dalmazio Limited,0,0,1,0,0,1,1,1.0,1 permit
Daly Farrell Chartered Accountants,1,0,0,0,0,1,1,1.0,1 permit
Dame Care Recruitment Agency Limited,3,1,0,6,2,12,4,3.0,6-20 permits
Dame Street Chiropractic Ltd,0,0,0,0,1,1,1,1.0,1 permit
Damh Entertainment Limited,1,0,0,0,0,1,1,1.0,1 permit
Dan and Tim Sheehan and Melanie Evans,1,0,0,0,0,1,1,1.0,1 permit
Dan Coleman Construction Limited,0,0,0,1,0,1,1,1.0,1 permit
Dan Ryan Truck Rental Limited,0,0,0,0,1,1,1,1.0,1 permit
Danalto Limited,0,0,0,1,0,1,1,1.0,1 permit
Danann Air Limited,0,0,0,2,2,4,2,2.0,2-5 permits
Danemont Ltd,0,1,0,0,0,1,1,1.0,1 permit
Daniels Farm Ltd,0,0,0,0,1,1,1,1.0,1 permit
Danone Infant Nutrition Macroom Ltd.,0,0,0,1,0,1,1,1.0,1 permit
Danu Environmental Ltd,1,0,0,0,0,1,1,1.0,1 permit
Danu Home Care Limited,11,11,2,5,20,49,5,9.8,21-100 permits
Darielle Ronan,2,0,0,0,1,3,2,1.5,2-5 permits
Darlex Risk Management Limited,0,0,0,0,1,1,1,1.0,1 permit
Darouiche Holdings Limited,0,1,0,1,0,2,2,1.0,2-5 permits
Darragh McArdle Engineering Limited,0,1,2,0,7,10,3,3.3,6-20 permits
Darraglynn Nursing Home Limited,1,0,1,1,0,3,3,1.0,2-5 permits
Darren McCartney Engineering Limited,0,0,0,0,2,2,1,2.0,2-5 permits
Data Edge Ltd.,1,0,0,0,0,1,1,1.0,1 permit
Datadog Ireland Limited,0,0,0,0,1,1,1,1.0,1 permit
Datavant Limited,0,0,0,0,1,1,1,1.0,1 permit
Dataworks Limited,0,0,0,1,0,1,1,1.0,1 permit
Datoba Engineering Construction Ireland Limited,0,0,0,0,1,1,1,1.0,1 permit
Davencrest Limited,0,1,1,0,0,2,2,1.0,2-5 permits
Davenham Switchgear Limited,1,0,0,0,0,1,1,1.0,1 permit
Daves Central Kitchen Limited,1,0,0,0,0,1,1,1.0,1 permit
David and William O'Brien,0,0,1,0,0,1,1,1.0,1 permit
David Blessington Concrete Works Limited,0,8,0,0,0,8,1,8.0,6-20 permits
David Byrne,0,0,0,1,0,1,1,1.0,1 permit
David Garrihy Tractors Ltd,2,0,0,0,0,2,1,2.0,2-5 permits
David Gillespie,1,0,0,0,0,1,1,1.0,1 permit
David McCormack,0,0,0,0,1,1,1,1.0,1 permit
David Ryan,0,0,0,0,1,1,1,1.0,1 permit
Davidson pharmacy ltd,1,0,0,0,0,1,1,1.0,1 permit
Dawn Meats Ireland UC,5,4,1,125,113,248,5,49.6,100+ permits
Dawnlough Ltd,0,0,0,1,0,1,1,1.0,1 permit
Dayu Ltd,0,0,0,0,1,1,1,1.0,1 permit
DBDC Nine Ltd,0,0,0,0,1,1,1,1.0,1 permit
DBFL Consulting Engineers Limited,0,0,0,0,1,1,1,1.0,1 permit
DBK Machinery Ltd,0,0,0,0,1,1,1,1.0,1 permit
DBT Labs Ireland Limited,0,0,1,0,0,1,1,1.0,1 permit
DC Contracts Limited,0,0,1,0,1,2,2,1.0,2-5 permits
DCT Digital Construction Technologies Limited,0,0,0,1,0,1,1,1.0,1 permit
DCU Educational Support Services Designated Activity Company,0,0,1,0,0,1,1,1.0,1 permit
Dds Brady Farms Limited,0,0,0,1,0,1,1,1.0,1 permit
De Roiste Loistiochta Teoranta,3,0,1,0,0,4,2,2.0,2-5 permits
Deal View Farm Limited,1,0,0,0,0,1,1,1.0,1 permit
Dealgan House Nursing Home Limited,0,0,1,0,0,1,1,1.0,1 permit
Deansgrove Farm Ltd,0,1,0,0,0,1,1,1.0,1 permit
Debcon Construction Limited,0,0,0,0,1,1,1,1.0,1 permit
Decathlon Sports Ireland Limited,0,0,0,0,1,1,1,1.0,1 permit
Declan Hickey Chemists Limited,0,0,0,0,1,1,1,1.0,1 permit
Declan Mcgonagle,0,0,0,1,0,1,1,1.0,1 permit
Declan O'Callaghan,0,0,1,0,0,1,1,1.0,1 permit
Deena Energy Services Limited,1,0,0,1,0,2,2,1.0,2-5 permits
Deerpark Civil Engineering (Ireland) Limited,0,0,0,0,2,2,1,2.0,2-5 permits
Deerpark Nursing Home Limited,0,0,1,2,0,3,2,1.5,2-5 permits
Deirdre Waldron,0,0,1,0,0,1,1,1.0,1 permit
Deise Shipping Ltd,0,0,1,0,0,1,1,1.0,1 permit
Dell Products Unlimited Company,2,1,1,2,0,6,4,1.5,6-20 permits
Deloitte Ireland LLP,4,10,6,6,8,34,5,6.8,21-100 permits
Deloitte Services Unlimited Company,0,0,0,0,1,1,1,1.0,1 permit
Deluxe Taverns North Limited,0,2,0,0,1,3,2,1.5,2-5 permits
Demeter Ventures Limited,2,0,1,0,0,3,2,1.5,2-5 permits
Dempsey Mullen Accountants,0,1,0,0,0,1,1,1.0,1 permit
Denbar Investments Limited,1,0,1,0,1,3,3,1.0,2-5 permits
Deni Clean Limited,1,0,0,0,0,1,1,1.0,1 permit
Denis Hogan Racing Limited,0,0,0,2,0,2,1,2.0,2-5 permits
Denis O'Sullivan & Company Limited,0,0,1,0,0,1,1,1.0,1 permit
"Denis, Maura and Declan O'Meara Dairy Partnership",0,0,0,1,0,1,1,1.0,1 permit
Dentaltech Limited,2,0,0,0,0,2,1,2.0,2-5 permits
Dentons Ireland LLP,0,0,0,0,1,1,1,1.0,1 permit
Dentsu Ireland Limited,0,0,1,1,0,2,2,1.0,2-5 permits
Depaul Ireland,1,1,0,0,1,3,3,1.0,2-5 permits
Dept Digital Ltd,0,2,0,0,1,3,2,1.5,2-5 permits
DePuy Ireland Unlimited Company,1,0,0,0,0,1,1,1.0,1 permit
Derg Healthcare Limited,0,0,0,1,0,1,1,1.0,1 permit
Derhinos Limited,0,0,0,0,1,1,1,1.0,1 permit
Dermot Foley Landscape Architects Ltd,0,0,1,0,0,1,1,1.0,1 permit
Derra Farms Limited,1,0,1,0,0,2,2,1.0,2-5 permits
Derry Brosnan Electrical & Construction Services Limited,0,0,2,0,0,2,1,2.0,2-5 permits
Derryhirk Retail Limited,1,0,0,0,0,1,1,1.0,1 permit
Designedly Ltd,1,0,0,0,0,1,1,1.0,1 permit
Designer Group Engineering Contractors Limited,1,2,0,0,0,3,2,1.5,2-5 permits
DesignPro Robotics Ltd,0,0,0,0,1,1,1,1.0,1 permit
Desmond Kennedy,0,0,0,1,0,1,1,1.0,1 permit
Dewan Hotels Limited,1,0,0,0,0,1,1,1.0,1 permit
Dexcom International Limited,1,0,1,0,2,4,3,1.3,2-5 permits
DFC Humble Food Company Ltd,0,0,0,1,0,1,1,1.0,1 permit
DFDS Logistics Contracts (Ireland) Ltd,1,0,0,1,0,2,2,1.0,2-5 permits
DG Ventures Limited,0,1,0,0,0,1,1,1.0,1 permit
DGLS Limited,0,0,0,1,1,2,2,1.0,2-5 permits
DHG Cordin Limited,0,1,0,0,0,1,1,1.0,1 permit
DHL Global Forwarding (Ireland) Limited,0,0,1,0,0,1,1,1.0,1 permit
Diageo Ireland Holdings Unlimited Company,0,0,1,0,0,1,1,1.0,1 permit
Diamond CHI Takeaway Limited,1,0,0,0,0,1,1,1.0,1 permit
Diamond Glass Limited,0,0,1,0,0,1,1,1.0,1 permit
DID Electrical Appliances Limited,1,0,0,0,0,1,1,1.0,1 permit
Diego Foods Limited,0,0,0,0,1,1,1,1.0,1 permit
Digiclo Limited,0,0,0,0,1,1,1,1.0,1 permit
Digit Game Studios Limited,1,0,0,0,0,1,1,1.0,1 permit
Digital Marketing & Recruitment Officer,0,0,0,2,0,2,1,2.0,2-5 permits
Digital Realty (Management Company) Limited,1,0,0,0,0,1,1,1.0,1 permit
Digren Limited,0,0,1,0,0,1,1,1.0,1 permit
Dillon Waste Unlimited Company,0,0,0,1,0,1,1,1.0,1 permit
Dillons Hotel Limited,0,0,0,1,0,1,1,1.0,1 permit
Dimples Creche & Montessori Limited,0,0,0,2,0,2,1,2.0,2-5 permits
Dinkin Bakeries Ltd,0,0,0,1,1,2,2,1.0,2-5 permits
Discover School Tours Limited,1,0,0,0,0,1,1,1.0,1 permit
Discoveries Creche and Montessori Limited,0,0,0,1,0,1,1,1.0,1 permit
Diva Design & Software Limited,8,1,4,0,0,13,3,4.3,6-20 permits
DJ Flannery Ltd,0,0,1,0,0,1,1,1.0,1 permit
DJV Consulting Ltd,1,0,1,0,0,2,2,1.0,2-5 permits
Dld Asset Holdings Limited,0,1,0,0,1,2,2,1.0,2-5 permits
DLS Language School LTD,0,1,0,0,0,1,1,1.0,1 permit
DM Myers Limited,0,1,0,0,0,1,1,1.0,1 permit
DM Venue Ltd,0,0,1,1,0,2,2,1.0,2-5 permits
DMAC Living Solutions Limited,0,1,0,0,0,1,1,1.0,1 permit
dmarcian Limited,0,0,2,0,0,2,1,2.0,2-5 permits
Dmark Construction Limited,0,0,0,0,1,1,1,1.0,1 permit
D-Max Foods Limited,0,0,0,0,1,1,1,1.0,1 permit
DMBORRISO LTD,1,0,0,0,0,1,1,1.0,1 permit
DMC Design Ltd. (TA Cubbie),0,1,0,0,0,1,1,1.0,1 permit
DMD United Enterprises Limited,0,1,0,0,0,1,1,1.0,1 permit
DMPC Limited,0,0,1,0,0,1,1,1.0,1 permit
Dnata Catering Ireland Limited,0,1,1,1,0,3,3,1.0,2-5 permits
DNCF Limited,1,0,2,1,0,4,3,1.3,2-5 permits
Dobsportscars,0,1,0,0,0,1,1,1.0,1 permit
DOCO System Solutions Limited,3,0,0,0,0,3,1,3.0,2-5 permits
DocuSign International (EMEA) Limited,3,0,0,0,1,4,2,2.0,2-5 permits
Dojo Health Limited,0,1,1,0,0,2,2,1.0,2-5 permits
Dole Ireland Limited,0,0,0,1,0,1,1,1.0,1 permit
Dolly Plant Hire Ltd,0,0,0,1,0,1,1,1.0,1 permit
Dolmen Precision & Fabrication Limited t/a DPF Engineering,0,0,1,0,0,1,1,1.0,1 permit
Domanska Ltd,1,1,0,2,0,4,3,1.3,2-5 permits
Dominican Sisters Tralee Company Limited By Guarantee,1,0,0,0,0,1,1,1.0,1 permit
Dominico Lentini,0,0,0,1,0,1,1,1.0,1 permit
Don O'Malley and Partners Limited,1,0,0,0,0,1,1,1.0,1 permit
Donal MacMonagail agus a Mhic Teoranta,1,1,0,0,0,2,2,1.0,2-5 permits
Donal McCarthy,0,0,0,1,0,1,1,1.0,1 permit
Donal O'Brien,1,0,0,0,0,1,1,1.0,1 permit
Dondale Farm Ltd,1,0,0,0,0,1,1,1.0,1 permit
Donegal Holdings Ltd,0,1,0,0,0,1,1,1.0,1 permit
Donegal Hospitality Limited,1,0,0,1,0,2,2,1.0,2-5 permits
Donlynn Farm ULC,0,0,0,0,1,1,1,1.0,1 permit
Donnelly Fruit & Veg Unlimited Company,1,0,1,0,0,2,2,1.0,2-5 permits
Dony Engineering Limited,1,0,0,0,0,1,1,1.0,1 permit
Doon Farm Enterprise Limited,0,0,0,0,1,1,1,1.0,1 permit
Doonaroom Ltd,1,0,0,0,0,1,1,1.0,1 permit
Doormotion Limited,1,0,0,0,0,1,1,1.0,1 permit
Doran Management Financial Services Limited,1,0,0,0,1,2,2,1.0,2-5 permits
Doreen's Bakery Limited,0,0,1,0,0,1,1,1.0,1 permit
Dornan Engineering Limited,0,1,2,6,2,11,4,2.8,6-20 permits
Dorset Opco Limited,0,1,0,0,0,1,1,1.0,1 permit
Dot Net Solutions Limited,0,0,0,1,0,1,1,1.0,1 permit
Dotsview Limited,0,0,1,0,0,1,1,1.0,1 permit
Doyle Shipping Group Unlimited Company,0,0,2,0,0,2,1,2.0,2-5 permits
DPH Pubs Ltd,0,0,1,0,0,1,1,1.0,1 permit
DPPS International Construction Limited,0,0,0,1,0,1,1,1.0,1 permit
Dr Conor Shileds & Dr Cormac Shields,0,0,0,1,0,1,1,1.0,1 permit
Dr James Kieran Mulholland,0,0,0,1,0,1,1,1.0,1 permit
"Dr John Keenan, Dr Claire Quinn",0,1,0,0,0,1,1,1.0,1 permit
Dr Sarah Doherty,0,0,0,0,1,1,1,1.0,1 permit
Dr Siobhan McNamee,0,0,0,1,0,1,1,1.0,1 permit
Dr. Michael Casey,0,0,0,0,1,1,1,1.0,1 permit
Dream Big Sophia CLG,1,0,0,0,0,1,1,1.0,1 permit
Dream Road Limited,0,2,0,0,0,2,1,2.0,2-5 permits
Drimbawn Mushrooms Ireland Unlimited Company,1,1,4,5,0,11,4,2.8,6-20 permits
Drinagh Co-Operative,0,0,0,0,1,1,1,1.0,1 permit
Drivalia Lease Ireland Limited,0,0,0,1,0,1,1,1.0,1 permit
Drogheda United FC Limited,3,0,0,0,0,3,1,3.0,2-5 permits
Droimnín Nursing Home Ltd,0,2,0,0,0,2,1,2.0,2-5 permits
Dromone Engineering Ltd,0,1,0,1,0,2,2,1.0,2-5 permits
Dromore House Farm Ltd,0,0,1,0,0,1,1,1.0,1 permit
Drs Grant Mac Namara Coleman Slattery & Others,0,0,1,1,0,2,2,1.0,2-5 permits
Druid Performing Arts CLG,0,0,1,0,0,1,1,1.0,1 permit
Drumbo Mushrooms Limited,0,0,0,4,2,6,2,3.0,6-20 permits
Drumcondra Taverns Limited,0,0,1,0,0,1,1,1.0,1 permit
Drumderrig House Nursing Home Limited,2,2,9,3,1,17,5,3.4,6-20 permits
Drumderry Aggregate Ltd,1,6,4,0,0,11,3,3.7,6-20 permits
Drumhill Inn Ltd,0,1,0,0,0,1,1,1.0,1 permit
Drumlemon Dairies,0,0,0,1,0,1,1,1.0,1 permit
DS & SS Restaurants Ltd,0,0,1,0,0,1,1,1.0,1 permit
DSPD Limited,0,0,2,1,0,3,2,1.5,2-5 permits
DTG Foods Ltd,0,1,0,0,0,1,1,1.0,1 permit
Dublin Aerospace Limited,1,1,1,4,2,9,5,1.8,6-20 permits
Dublin Artizan Pizza Limited,0,1,0,0,0,1,1,1.0,1 permit
Dublin Central Kitchen Limited,1,0,0,1,1,3,3,1.0,2-5 permits
Dublin Central Mission CLG,3,0,1,0,0,4,2,2.0,2-5 permits
Dublin Centre Of Education Limited,0,1,0,0,0,1,1,1.0,1 permit
Dublin City University,0,2,1,0,0,3,2,1.5,2-5 permits
Dublin College of Advanced Studies Limited,0,1,0,0,0,1,1,1.0,1 permit
Dublin Cookery School Limited,0,0,0,1,0,1,1,1.0,1 permit
Dublin North City Mental Health Services,0,0,0,2,2,4,2,2.0,2-5 permits
Dublin Port Company,0,0,0,0,1,1,1,1.0,1 permit
Dublin Simon Community,2,2,1,1,1,7,5,1.4,6-20 permits
Dublin Specsavers Hearcare Limited,1,0,0,0,0,1,1,1.0,1 permit
DUBLIN THEATRE FESTIVAL COMPANY LIMITED BY GUARANTEE,0,0,0,0,1,1,1,1.0,1 permit
Duck On Inn Ltd,0,0,1,0,0,1,1,1.0,1 permit
Duelchem Ltd,1,0,0,0,0,1,1,1.0,1 permit
Duesbury Limited,0,0,1,0,0,1,1,1.0,1 permit
Duffy's Circus Limited,3,0,2,0,4,9,3,3.0,6-20 permits
Duggan Brothers (Contractors) Limited,0,0,1,0,0,1,1,1.0,1 permit
Dulane Hospitality Limited,0,0,0,1,0,1,1,1.0,1 permit
Dún Laoghaire Rathdown County Council,5,0,0,0,0,5,1,5.0,2-5 permits
Dun Laoghaire Specsavers Hearcare Ltd,1,0,0,0,0,1,1,1.0,1 permit
Dun Laoghaire Tech Store Limited,1,0,0,0,0,1,1,1.0,1 permit
Duna AI Limited,0,0,0,1,0,1,1,1.0,1 permit
Dunboyne Castle Hospitality Limited,2,1,0,0,1,4,3,1.3,2-5 permits
Dunboyne Nursing Home,0,1,4,3,0,8,3,2.7,6-20 permits
Dunbrody Country House Limited,0,1,0,0,0,1,1,1.0,1 permit
Dundalk Institute of Technology,1,0,0,0,0,1,1,1.0,1 permit
Dundela Consulting Ltd,1,0,0,0,0,1,1,1.0,1 permit
Dundrum Steel RHD Limited,2,1,2,2,1,8,5,1.6,6-20 permits
Duneolas Limited,0,0,1,0,0,1,1,1.0,1 permit
Dungarvan Transport Limited,5,0,1,4,1,11,4,2.8,6-20 permits
Dungeagan Limited,0,0,0,1,0,1,1,1.0,1 permit
Dunguaire Tavern Ltd,0,1,0,0,0,1,1,1.0,1 permit
Duniya Limited,0,0,0,0,1,1,1,1.0,1 permit
Dunleckney Farm Limited,1,0,0,0,0,1,1,1.0,1 permit
Dunmore House Hotel Limited,0,4,0,0,0,4,1,4.0,2-5 permits
Dunmoylan Farms Ltd,0,0,1,0,0,1,1,1.0,1 permit
Dunmurry West Care Home Limited,0,1,1,1,0,3,3,1.0,2-5 permits
Dunne Global Maritime Limited,1,0,0,0,0,1,1,1.0,1 permit
Dunshaughlin Care Home Limited,0,1,0,0,2,3,2,1.5,2-5 permits
Dynamic Sales Force Limited,0,0,0,1,0,1,1,1.0,1 permit
Dysart Construction Limited,1,0,0,0,0,1,1,1.0,1 permit
E & E Cairns Ltd,0,1,0,0,0,1,1,1.0,1 permit
E and R Formwork Limited,1,0,0,0,0,1,1,1.0,1 permit
E Thomas Developments Limited,0,3,1,2,1,7,4,1.8,6-20 permits
E&I Engineering Limited,2,1,0,0,1,4,3,1.3,2-5 permits
E. A. Accessories Ltd,0,0,1,0,0,1,1,1.0,1 permit
E.H.A Soft Solutions Limited,0,0,0,0,1,1,1,1.0,1 permit
E.J. Kings Bar Limited,1,0,0,0,0,1,1,1.0,1 permit
EAE Engineering Ltd,0,1,0,0,0,1,1,1.0,1 permit
Eagle Global Recruitment Limited,0,0,0,2,0,2,1,2.0,2-5 permits
Eagle Healthcare Limited,1,0,0,0,0,1,1,1.0,1 permit
Eaglealpha Limited,0,0,0,0,1,1,1,1.0,1 permit
Eala Bhán Teoranta,1,0,0,0,0,1,1,1.0,1 permit
EAMON BISHOP AND SONS LTD,1,0,0,0,0,1,1,1.0,1 permit
Eamon Delany,0,0,0,1,0,1,1,1.0,1 permit
Eamon O'Boyle Chartered Fire and Safety Engineers Limited,1,1,0,0,0,2,2,1.0,2-5 permits
Eamonn Barrett International Transport Ltd,1,0,0,0,0,1,1,1.0,1 permit
Earl of Desmond (Tralee) Ltd,0,0,0,1,0,1,1,1.0,1 permit
Eason Ltd,1,0,0,0,0,1,1,1.0,1 permit
Eastern Food Stores,0,0,0,1,0,1,1,1.0,1 permit
Easy Wok Limited,0,0,0,1,0,1,1,1.0,1 permit
Eat Up Limited,1,0,0,0,0,1,1,1.0,1 permit
Eaton Industries (Ireland) Limited,0,0,0,0,1,1,1,1.0,1 permit
Eaton Intelligent Power Limited,0,1,0,0,0,1,1,1.0,1 permit
Eatzen Limited,0,1,3,2,0,6,3,2.0,6-20 permits
eBay Europe Services Limited,3,0,3,0,3,9,3,3.0,6-20 permits
EBO HOME RESCUE LIMITED,0,0,0,0,2,2,1,2.0,2-5 permits
Ecall Global Telecoms Ltd t/as Garrett O Brien,0,0,1,0,0,1,1,1.0,1 permit
Ecarg Contracting Limited,0,0,0,1,0,1,1,1.0,1 permit
ECC Design and Engineering Limited,2,0,0,0,0,2,1,2.0,2-5 permits
EclimAi Limited,0,0,0,1,0,1,1,1.0,1 permit
ECO Sweethomes Properties Limited,1,0,0,3,1,5,3,1.7,2-5 permits
Ecofix Limited,1,0,0,0,0,1,1,1.0,1 permit
Ecoflex Surfacing Limited,1,0,0,1,0,2,2,1.0,2-5 permits
Ecological Offsite Manufacturing,0,0,0,2,0,2,1,2.0,2-5 permits
Ecoville Construction Limited,2,0,0,0,0,2,1,2.0,2-5 permits
Ecowall ICF Limited,0,0,0,1,0,1,1,1.0,1 permit
ECS Refrigeration Services Ltd,1,1,0,0,0,2,2,1.0,2-5 permits
ED Advanced Medical Services Limited,0,0,0,1,0,1,1,1.0,1 permit
ED Tyrestop Limited,0,0,0,1,0,1,1,1.0,1 permit
Eddie Rockets (Ireland) Limited,0,0,1,0,0,1,1,1.0,1 permit
EDGE SIGNS,0,0,1,0,0,1,1,1.0,1 permit
Edit Hair Club,0,0,0,1,0,1,1,1.0,1 permit
Edmund Lavin Labour Supply Services Ltd,0,1,0,0,0,1,1,1.0,1 permit
Edward Conway Limited,2,2,0,0,0,4,2,2.0,2-5 permits
Edward Fossett & Sons Circus Entertainment Ltd,0,0,1,0,0,1,1,1.0,1 permit
Edward Lundy Haulage Unlimited Company,0,0,1,0,0,1,1,1.0,1 permit
Edward O Connell Plant hire (Kildimo)LTD,0,0,1,0,0,1,1,1.0,1 permit
EDWARD SAWAT LIMITED,0,0,0,0,1,1,1,1.0,1 permit
Edwards Lifesciences Ireland Limited,0,0,0,1,0,1,1,1.0,1 permit
Edwards Vacuum Technology Ireland Limited,0,0,0,0,1,1,1,1.0,1 permit
Efficax Teoranta,1,0,0,0,0,1,1,1.0,1 permit
Efficient Renewables Ltd,0,2,1,0,0,3,2,1.5,2-5 permits
EFJ Laser Ltd,2,0,0,0,0,2,1,2.0,2-5 permits
Egan Floor Screeding Ltd.,0,0,1,0,0,1,1,1.0,1 permit
EGC Gymnastics CLG,0,1,0,0,0,1,1,1.0,1 permit
Egg Smash Limited,0,1,0,0,0,1,1,1.0,1 permit
EGG VFX LTD,0,1,0,0,0,1,1,1.0,1 permit
Egis Engineering Ireland Limited,2,2,2,0,4,10,4,2.5,6-20 permits
Eida Software Solutions Ltd,0,0,0,1,0,1,1,1.0,1 permit
Eiffage Energia Ireland Limited,0,0,0,0,2,2,1,2.0,2-5 permits
Eirebloc Limited,0,1,0,0,0,1,1,1.0,1 permit
Eirebus Limited,0,6,0,2,5,13,3,4.3,6-20 permits
Eirefacades Limited,1,0,0,1,0,2,2,1.0,2-5 permits
EirGrid Public Limited Company,7,1,2,1,2,13,5,2.6,6-20 permits
Eirhaul Limited,1,0,0,1,0,2,2,1.0,2-5 permits
Eirtrans (Vb) Limited,0,0,0,0,1,1,1,1.0,1 permit
Ekco Security Limited,0,1,0,0,0,1,1,1.0,1 permit
El Barrio Limited,1,0,0,0,0,1,1,1.0,1 permit
El Grito Limited,1,0,1,2,0,4,3,1.3,2-5 permits
Elder Home Care Limited,3,2,0,1,5,11,4,2.8,6-20 permits
Elder Nursing Homes (Charleville) Limited,0,0,0,1,0,1,1,1.0,1 permit
Elder Nursing Homes Ltd,0,2,0,0,1,3,2,1.5,2-5 permits
Elecnor Servicios y Proyectos in Ireland Limited,0,0,0,5,0,5,1,5.0,2-5 permits
Electrical & Pump Services Ltd,2,0,1,0,1,4,3,1.3,2-5 permits
Electrical Rewind Service (Limerick) Limited,0,0,0,1,0,1,1,1.0,1 permit
Electricity Association Of Ireland Company Limited By Guarantee,0,0,0,0,1,1,1,1.0,1 permit
Electricity Supply Board,5,4,3,2,3,17,5,3.4,6-20 permits
Electronic Arts Ireland Limited,0,0,1,0,0,1,1,1.0,1 permit
Electronic Product Services Ltd,0,0,1,0,0,1,1,1.0,1 permit
Electronics Scrab Limited,0,0,0,0,1,1,1,1.0,1 permit
Elektrotek Ltd,1,0,0,0,0,1,1,1.0,1 permit
Element Fleet Leasing Limited,0,0,0,0,1,1,1,1.0,1 permit
Element Six Ltd,0,0,0,1,0,1,1,1.0,1 permit
Eli Lilly Cork Limited,5,5,0,1,1,12,4,3.0,6-20 permits
Eli Lilly Kinsale Limited,9,3,6,7,20,45,5,9.0,21-100 permits
Elite Livestock Genetics T/A AB Ireland,1,0,0,0,0,1,1,1.0,1 permit
Eliza Care Limited,0,2,0,5,2,9,3,3.0,6-20 permits
Ellab Ireland Ltd,0,0,0,0,1,1,1,1.0,1 permit
Elliott Building and Civil Engineering Limited,2,2,3,0,0,7,3,2.3,6-20 permits
Ellucian Ireland Limited,0,0,0,1,0,1,1,1.0,1 permit
Elm Fireplaces Ltd,0,2,0,0,0,2,1,2.0,2-5 permits
Eltex Manufacturing Ltd,0,0,0,1,0,1,1,1.0,1 permit
EM STAR RETAIL LIMITED,0,0,0,0,1,1,1,1.0,1 permit
Emardress Limited,0,1,0,0,0,1,1,1.0,1 permit
Embankment Plastics Limited,0,0,1,0,0,1,1,1.0,1 permit
Embrace Community Services Limited,1,3,5,7,6,22,5,4.4,21-100 permits
EMC Information Systems International Unlimited Company,2,1,0,1,2,6,4,1.5,6-20 permits
EMEIS Ireland Limited,0,1,0,0,0,1,1,1.0,1 permit
Emerald Dental Limited,0,0,1,0,0,1,1,1.0,1 permit
Emerald Panda Foodie Limited,1,0,0,0,0,1,1,1.0,1 permit
Emerson Automation Solutions Ireland Limited,4,3,1,0,7,15,4,3.8,6-20 permits
Emerton View Limited,2,4,2,0,0,8,3,2.7,6-20 permits
Emex Software Ltd,0,1,0,0,0,1,1,1.0,1 permit
EMG Tyres Ltd,0,0,0,0,1,1,1,1.0,1 permit
Empyrean DC Ireland Limited,1,0,0,0,0,1,1,1.0,1 permit
Emydex Technology Limited,0,1,0,0,0,1,1,1.0,1 permit
Enable Ireland Disability Services,0,0,0,1,1,2,2,1.0,2-5 permits
E-nasc Eireann Teoranta,1,0,0,0,1,2,2,1.0,2-5 permits
Encom Systems Ltd.,1,0,0,0,0,1,1,1.0,1 permit
Endemon Trading Ltd,1,0,0,0,0,1,1,1.0,1 permit
Energoinvest Reach Active Limited,0,2,7,12,5,26,4,6.5,21-100 permits
EnergyServ Solar Limited,0,0,0,0,1,1,1,1.0,1 permit
Energywise Savings Ireland Ltd,0,0,0,0,1,1,1,1.0,1 permit
Enerteam Renewables Limited,0,0,0,1,0,1,1,1.0,1 permit
Enfer Medical Limited,2,1,0,0,0,3,2,1.5,2-5 permits
Enforge Exchequer Street Limited,0,0,1,1,0,2,2,1.0,2-5 permits
Enforge PCC Limited,0,0,1,0,0,1,1,1.0,1 permit
Engine Lease Finance Corporation,0,0,1,0,1,2,2,1.0,2-5 permits
ENGINEERING MACHINERY & SERVICES LTD,1,0,0,0,0,1,1,1.0,1 permit
Engineering Support & Services Limited,1,0,2,4,3,10,4,2.5,6-20 permits
Enhance Dental Limited,0,0,1,0,0,1,1,1.0,1 permit
Enhanced Information Solutions Limited,1,0,0,0,0,1,1,1.0,1 permit
Enis Takeaway Limited,0,0,1,0,0,1,1,1.0,1 permit
Ennis Ironworks Ltd,1,0,0,0,0,1,1,1.0,1 permit
