nationality,issued,refused,total_decisions,approval_rate,refusal_rate,pct_of_all_issued,continent
Tunisia,13,1,14,92.9,7.1,0.1,Africa
Türkiye,111,5,116,95.7,4.3,0.7,Other
Turkmenistan,1,0,1,100.0,0.0,0.0,Other
Uganda,26,6,32,81.2,18.8,0.2,Africa
Ukraine,84,2,86,97.7,2.3,0.5,Europe
United Kingdom,1,0,1,100.0,0.0,0.0,Other
United States of America,475,19,494,96.2,3.8,3.1,Other
Uruguay,5,0,5,100.0,0.0,0.0,Other
Uzbekistan,8,1,9,88.9,11.1,0.1,Other
Venezuela,8,0,8,100.0,0.0,0.1,Americas
Vietnam,52,9,61,85.2,14.8,0.3,Asia
Zambia,5,1,6,83.3,16.7,0.0,Other
Zimbabwe,446,74,520,85.8,14.2,2.9,Africa
